names	scores	pvals_adj	group
S100A8	32.855663	4.322350920165572e-233	1
TYROBP	31.733585	1.8339054892103156e-217	1
FCN1	31.132778	1.983108018092303e-209	1
CST3	31.017336	6.165881015068942e-208	1
S100A6	30.343891	4.609156022499515e-199	1
LGALS2	30.221281	1.5514699343498378e-197	1
LGALS1	29.779154	8.313551893090764e-192	1
GSTP1	28.532476	4.889209959067422e-176	1
AIF1	28.13571	3.2772061919066046e-171	1
TYMP	28.05365	3.090271450950249e-170	1
GPX1	27.840185	1.1424568015770954e-167	1
CD79A	27.833143	1.1816246406093643e-166	2
LST1	27.69335	6.060210214575548e-166	1
CTSS	27.596556	8.39157663645643e-165	1
CD79B	26.462198	9.055231508493189e-151	2
SAT1	26.28066	1.989121918771515e-149	1
S100A11	26.093576	2.464130582728733e-147	1
COTL1	25.980688	4.490794572530359e-146	1
HLA-DPB1	25.920864	1.0629445635383086e-144	2
FCER1G	25.550804	2.634421325098387e-141	1
CYBA	25.360535	3.2521139007979812e-139	1
MS4A1	25.271364	1.5077255698283152e-137	2
HLA-DQA1	25.262367	1.6228103939570264e-137	2
NPC2	25.194754	1.9596974681447183e-137	1
CD37	24.383112	4.429145351215482e-128	2
HLA-DRB1	24.356613	7.517795325030682e-128	2
HLA-DQB1	24.303425	2.473326251936126e-127	2
CCL5	24.104	3.1125587597896606e-124	3
LTB	24.09901	1.0031335442073365e-125	0
GRN	23.71437	9.012977198188109e-122	1
HLA-DPA1	23.711422	3.4274183808929302e-121	2
MS4A6A	22.273642	2.0286689935788955e-107	1
NKG7	22.017353	1.3467363073367973e-103	3
PYCARD	21.721579	3.4498400222793696e-102	1
LGALS3	21.429504	1.8014037203859352e-99	1
IL32	21.401653	3.2749539258394317e-99	0
NKG7	20.848074	2.1761613953687424e-92	4
GNLY	20.120642	3.337617655314186e-86	4
LST1	20.06183	2.1821005429030966e-85	5
GZMB	19.943604	7.78690021557353e-85	4
CTSW	19.767838	1.931634096877708e-83	4
FCER1G	19.716246	1.0725399817892677e-82	5
TALDO1	19.630932	1.6726763473903968e-83	1
PRF1	19.468164	5.6080750540058775e-81	4
AIF1	19.414034	2.6847475047852122e-80	5
COTL1	19.149605	3.3436003639929825e-78	5
CST7	19.074568	1.87794205895218e-77	3
ARPC1B	18.857939	4.624186579512833e-77	1
GZMA	18.768543	3.1217727297091087e-75	4
FCGRT	18.753412	3.233621124564037e-76	1
CST7	18.67923	1.4314726655210376e-74	4
FCGR3A	18.565819	1.6663548107935437e-73	5
IFITM3	18.348364	6.66510667890756e-72	5
TCL1A	18.303356	6.668810025572144e-72	2
GZMA	18.297714	2.366886563901901e-71	3
SAT1	18.15117	1.915293429886588e-70	5
NCF2	18.128414	3.104620166503162e-71	1
SRGN	17.830433	6.466504240514849e-69	1
FGFBP2	17.780798	1.3652842299748374e-67	4
IL32	17.528568	1.9822913943625567e-65	3
CTSS	17.155478	6.497468458135468e-63	5
S100A11	17.102968	1.3815559710697319e-62	5
CDA	17.057076	4.1635952506081847e-63	1
CTSW	17.040134	7.093264871120385e-62	3
IFITM3	17.029833	6.570081557478472e-63	1
LINC00926	16.702997	8.996553542781695e-60	2
IFI30	16.631838	5.302190593507468e-60	1
HLA-DMA	16.573822	7.036831065340568e-59	2
C1orf162	16.518154	3.416959278629133e-59	1
HLA-DRB1	15.890203	8.683983235553787e-55	1
CST3	15.841232	9.636857193789199e-54	5
CEBPB	15.739815	4.425782205035194e-53	5
CEBPB	15.582566	1.092976779229419e-52	1
CD247	15.574819	1.0575418856041609e-51	4
TYROBP	15.453834	3.481742252796695e-51	5
TNFSF13B	15.385029	2.3188425079343254e-51	1
GZMK	15.369252	3.6094027431020915e-50	3
TYMP	15.281739	4.477084141361174e-50	5
NPC2	15.214503	1.142943846991754e-49	5
FCGR3A	15.111776	1.092598786811713e-48	4
LGALS1	15.08417	7.62966867311485e-49	5
CD2	14.844306	8.243058034030076e-48	0
SPON2	14.495905	8.397941610640776e-45	4
HINT1	14.4238205	3.836587551712008e-45	0
S100A6	14.327107	4.955894289391686e-44	5
IFI30	14.020596	3.635185921247917e-42	5
ALDH2	13.940052	3.3289004657365386e-42	1
HLA-DMB	13.891942	2.8592559047731805e-41	2
